Serial no.,Date,Open,High,Mean,Low,Close,Adj Close,Total Trade Quantity
47,9/2/2010,20.370001,21.24,20.7749995,20.309999,21.059999,21.06,487100
48,9/3/2010,20.870001,21.299999,20.9799995,20.66,21.049999,21.05,434600
49,9/7/2010,20.610001,21,20.75,20.5,20.540001,20.54,243400
50,9/8/2010,20.66,20.950001,20.7750005,20.6,20.9,20.9,288400
51,9/9/2010,21,21.049999,20.87,20.690001,20.709999,20.71,376200
52,9/10/2010,20.75,20.93,20.345,19.76,20.17,20.17,386600
53,9/13/2010,20.889999,20.9,20.7,20.5,20.719999,20.72,360800
54,9/14/2010,20.540001,21.6,21.0650005,20.530001,21.120001,21.12,654700
55,9/15/2010,20.98,22,21.3950005,20.790001,21.98,21.98,684600
56,9/16/2010,22.15,23.16,22,20.84,20.940001,20.94,2684500
57,9/17/2010,21.02,21.32,20.5599995,19.799999,20.23,20.23,1198500
58,9/20/2010,20.67,21.35,20.755,20.16,21.059999,21.06,947500
